kind,group,title,source,output,lines,chars,dimensions,concepts,sha1
书籍章节,003_A century of design design pioneers of the 20th century (Spa,CHAPTER 2,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\003_A century of design design pioneers of the 20th century (Spa\02_CHAPTER 2.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\003_A century of design design pioneers of the 20th century (Spa\02_CHAPTER 2_知识体系分析.md,93,2036,人物机构与案例网络；设计本体与问题域；历史语境与社会机制；技术思维与制造逻辑,符号系统,84e5e8230371e34fa9121fcfcba321e73b472312
书籍章节,003_A century of design design pioneers of the 20th century (Spa,CHAPTER 3,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\003_A century of design design pioneers of the 20th century (Spa\03_CHAPTER 3.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\003_A century of design design pioneers of the 20th century (Spa\03_CHAPTER 3_知识体系分析.md,121,2692,人物机构与案例网络；设计本体与问题域；历史语境与社会机制；技术思维与制造逻辑,符号系统,61e39e318ea9c69c3efa1a7c6a1c2d62422b94df
书籍章节,003_A century of design design pioneers of the 20th century (Spa,CHAPTER 4,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\003_A century of design design pioneers of the 20th century (Spa\04_CHAPTER 4.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\003_A century of design design pioneers of the 20th century (Spa\04_CHAPTER 4_知识体系分析.md,99,1936,设计本体与问题域；人物机构与案例网络；历史语境与社会机制；技术思维与制造逻辑,符号系统,0002aad2cb912205b9c2cfb8b81c2a31ba96fe19
书籍章节,003_A century of design design pioneers of the 20th century (Spa,CHAPTER 5,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\003_A century of design design pioneers of the 20th century (Spa\05_CHAPTER 5.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\003_A century of design design pioneers of the 20th century (Spa\05_CHAPTER 5_知识体系分析.md,59,1031,设计本体与问题域；人物机构与案例网络；历史语境与社会机制；技术思维与制造逻辑,符号系统,52301e1c1eb8d9a2ab856ea5494e7e5405d3295d
书籍章节,003_A century of design design pioneers of the 20th century (Spa,CHAPTER 6,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\003_A century of design design pioneers of the 20th century (Spa\06_CHAPTER 6.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\003_A century of design design pioneers of the 20th century (Spa\06_CHAPTER 6_知识体系分析.md,2781,74520,设计本体与问题域；人物机构与案例网络；历史语境与社会机制；材料媒介与形式语言,功能主义；标准化；视觉传达；符号系统；研究范式,b5677e06e0c7567e4051ae7b0b7199f7ef6880f0
书籍章节,"004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e",前言与目录,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e\00_前言与目录.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e\00_前言与目录_知识体系分析.md",150,11744,材料媒介与形式语言；人物机构与案例网络；设计本体与问题域；技术思维与制造逻辑,视觉传达；符号系统,c3e59a189ee9780a19dfbfd8e1af01f37610e133
书籍章节,"004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e",CHAPTER I,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e\01_CHAPTER I.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e\01_CHAPTER I_知识体系分析.md",156,15757,材料媒介与形式语言；技术思维与制造逻辑；设计本体与问题域；历史语境与社会机制,标准化；视觉传达；符号系统,26f7ac2825e232581c71674999e037c54db2f0f2
书籍章节,"004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e",CHAPTER II,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e\02_CHAPTER II.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e\02_CHAPTER II_知识体系分析.md",63,7041,材料媒介与形式语言；历史语境与社会机制；设计本体与问题域；方法过程与研究范式,符号系统,5eb4f1b1153f2759eb6d8d22de7601264a102faf
书籍章节,"004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e",CHAPTER III,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e\03_CHAPTER III.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\004_A color notation (Munsell, A. H. (Albert Henry), 1858-1918 e\03_CHAPTER III_知识体系分析.md",616,51400,材料媒介与形式语言；设计本体与问题域；历史语境与社会机制；技术思维与制造逻辑,功能主义；视觉传达；符号系统；创造性,0569ade0504f27f6492e04fbbed8dc372bb3a0f8
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,A Critic Writes,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\01_A Critic Writes.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\01_A Critic Writes_知识体系分析.md,49,803,人物机构与案例网络；技术思维与制造逻辑；材料媒介与形式语言；历史语境与社会机制,,ff1797a07e278a972f351c93a3371c0ffaf5f772
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,A Critic Writes,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\02_A Critic Writes.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\02_A Critic Writes_知识体系分析.md,5,13,设计本体与问题域；历史语境与社会机制；技术思维与制造逻辑,,966bfaaa3479d75c844811ccb2d113637306df5c
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,ESSAYS by REYNER BANHAM,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\03_ESSAYS by REYNER BANHAM.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\03_ESSAYS by REYNER BANHAM_知识体系分析.md,197,14321,人物机构与案例网络；设计本体与问题域；历史语境与社会机制；技术思维与制造逻辑,功能主义；符号系统；创造性；研究范式,33552dc594e305e193f4788315780da8e4ae3e79
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Vehicles of Desire,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\04_Vehicles of Desire.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\04_Vehicles of Desire_知识体系分析.md,231,50581,材料媒介与形式语言；历史语境与社会机制；人物机构与案例网络；设计本体与问题域,功能主义；系统集成；视觉传达；符号系统；创造性,208823e9b3909b30e50330031842738ffb1476e0
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Unesco House,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\05_Unesco House.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\05_Unesco House_知识体系分析.md,19,5215,人物机构与案例网络；设计本体与问题域；历史语境与社会机制；材料媒介与形式语言,功能主义；视觉传达；符号系统,3a48cb31840a92d577617a2485b6af39a43a9d05
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,The Glass Paradise,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\06_The Glass Paradise.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\06_The Glass Paradise_知识体系分析.md,267,64328,历史语境与社会机制；人物机构与案例网络；设计本体与问题域；材料媒介与形式语言,功能主义；系统集成；视觉传达；符号系统；创造性；研究范式,5b88ffa2705000c27592b809a3e2747b70d56291
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Design by Choice,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\07_Design by Choice.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\07_Design by Choice_知识体系分析.md,151,48495,设计本体与问题域；人物机构与案例网络；历史语境与社会机制；材料媒介与形式语言,广义设计；功能主义；视觉传达；符号系统；设计思维；创造性；研究范式,533ec3ae69c0d27436556594692e54dc04ef849b
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,"Big Doug, Small Piece","C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\08_Big Doug, Small Piece.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\08_Big Doug, Small Piece_知识体系分析.md",35,6807,材料媒介与形式语言；设计本体与问题域；人物机构与案例网络；历史语境与社会机制,功能主义；视觉传达；符号系统,3a9486b68d08f3c1bd89abf9cfc7dfc21234f0bf
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Kent and Capability,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\09_Kent and Capability.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\09_Kent and Capability_知识体系分析.md,73,17650,设计本体与问题域；人物机构与案例网络；历史语境与社会机制；材料媒介与形式语言,功能主义；视觉传达；符号系统；创造性；研究范式,d998d2cfb4f02d57620e36a3f15b79f7087d69e4
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,The Style for the Job,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\10_The Style for the Job.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\10_The Style for the Job_知识体系分析.md,21,5833,设计本体与问题域；材料媒介与形式语言；人物机构与案例网络；历史语境与社会机制,功能主义；视觉传达；符号系统；研究范式,8816794ab283e41c386a6a7da734e3b96daa0c54
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,How I Learnt to Live with the Norwich Union,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\11_How I Learnt to Live with the Norwich Union.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\11_How I Learnt to Live with the Norwich Union_知识体系分析.md,231,72996,设计本体与问题域；人物机构与案例网络；历史语境与社会机制；技术思维与制造逻辑,功能主义；系统集成；标准化；视觉传达；符号系统；研究范式,d88683152f90b35f09bc5e8ed9b1018f87f851c2
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,The Wilderness Years of Frank Lloyd Wright,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\12_The Wilderness Years of Frank Lloyd Wright.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\12_The Wilderness Years of Frank Lloyd Wright_知识体系分析.md,462,94411,设计本体与问题域；人物机构与案例网络；材料媒介与形式语言；历史语境与社会机制,功能主义；系统集成；视觉传达；符号系统；创造性,f6605ac054d73382cb610494304c7d703f4d07ce
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Iron Bridge Embalmed,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\13_Iron Bridge Embalmed.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\13_Iron Bridge Embalmed_知识体系分析.md,69,13824,人物机构与案例网络；设计本体与问题域；历史语境与社会机制；技术思维与制造逻辑,功能主义；视觉传达；符号系统；研究范式,50879022c6663d1d0a3ae6ef2ceb6fab34b594f4
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Bricologues a la Lanterne,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\14_Bricologues a la Lanterne.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\14_Bricologues a la Lanterne_知识体系分析.md,31,7139,技术思维与制造逻辑；设计本体与问题域；历史语境与社会机制；人物机构与案例网络,功能主义；符号系统,9334644e7eba56c90e736aed4294548d2df4439b
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Lair of the Looter,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\15_Lair of the Looter.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\15_Lair of the Looter_知识体系分析.md,75,20285,人物机构与案例网络；设计本体与问题域；历史语境与社会机制；材料媒介与形式语言,功能主义；视觉传达；符号系统；创造性,eec6d0b44e21d2cdc40ed31bbf584f7d7947a211
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Summa Galactica,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\16_Summa Galactica.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\16_Summa Galactica_知识体系分析.md,223,49893,历史语境与社会机制；设计本体与问题域；人物机构与案例网络；材料媒介与形式语言,视觉传达；符号系统；研究范式,5951fc70013aa203ba8b0cebfb81175aaaae5f62
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Dead on the Fault,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\17_Dead on the Fault.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\17_Dead on the Fault_知识体系分析.md,123,31303,设计本体与问题域；人物机构与案例网络；历史语境与社会机制；材料媒介与形式语言,广义设计；功能主义；视觉传达；符号系统；研究范式,a23b811b46e1d092df8bb79b7337dca71b0fb2ce
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Modern Monuments,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\18_Modern Monuments.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\18_Modern Monuments_知识体系分析.md,33,7409,历史语境与社会机制；人物机构与案例网络；设计本体与问题域；材料媒介与形式语言,符号系统,9b2234768e839f35d2383ff070fa16ec104d3782
书籍章节,005_A Critic Writes Selected Essays by Reyner Banham (Centennial,Building Inside Out,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\19_Building Inside Out.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\005_A Critic Writes Selected Essays by Reyner Banham (Centennial\19_Building Inside Out_知识体系分析.md,3870,154212,历史语境与社会机制；人物机构与案例网络；设计本体与问题域；材料媒介与形式语言,功能主义；视觉传达；符号系统；创造性；研究范式,f288fc66e70072020692f4b11f8c5d17bacc69ad
书籍章节,"006_A History of Interior Design (John F. Pile, Judith Gura",前言与目录,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\006_A History of Interior Design (John F. Pile, Judith Gura\00_前言与目录.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\006_A History of Interior Design (John F. Pile, Judith Gura\00_前言与目录_知识体系分析.md",151,12803,设计本体与问题域；历史语境与社会机制；材料媒介与形式语言；人物机构与案例网络,符号系统；研究范式,6a8b40cf783239b0eecfcb52301714b6cb88e9ee
书籍章节,"006_A History of Interior Design (John F. Pile, Judith Gura",Chapter One,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\006_A History of Interior Design (John F. Pile, Judith Gura\01_Chapter One.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\006_A History of Interior Design (John F. Pile, Judith Gura\01_Chapter One_知识体系分析.md",341,47074,设计本体与问题域；材料媒介与形式语言；技术思维与制造逻辑；历史语境与社会机制,功能主义；视觉传达；符号系统,e80dfd52fa4463aadecbb0a08a02cb576e820ad0
书籍章节,"006_A History of Interior Design (John F. Pile, Judith Gura",Chapter Two,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\006_A History of Interior Design (John F. Pile, Judith Gura\02_Chapter Two.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\006_A History of Interior Design (John F. Pile, Judith Gura\02_Chapter Two_知识体系分析.md",354,42541,设计本体与问题域；材料媒介与形式语言；技术思维与制造逻辑；历史语境与社会机制,广义设计；功能主义；系统集成；符号系统,242958da2f33f50d7557ff8acaa67343a087ec9b
书籍章节,"006_A History of Interior Design (John F. Pile, Judith Gura",Chapter Three,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\006_A History of Interior Design (John F. Pile, Judith Gura\03_Chapter Three.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\006_A History of Interior Design (John F. Pile, Judith Gura\03_Chapter Three_知识体系分析.md",380,49144,设计本体与问题域；材料媒介与形式语言；历史语境与社会机制；技术思维与制造逻辑,功能主义；视觉传达；符号系统,1dc31b1a3debf27f5e513b301c6f7c6eebd27ac7
书籍章节,"006_A History of Interior Design (John F. Pile, Judith Gura",Chapter Four,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\006_A History of Interior Design (John F. Pile, Judith Gura\04_Chapter Four.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\006_A History of Interior Design (John F. Pile, Judith Gura\04_Chapter Four_知识体系分析.md",576,71208,材料媒介与形式语言；设计本体与问题域；历史语境与社会机制；技术思维与制造逻辑,功能主义；视觉传达；符号系统,71989e3b313ef4011f911bcf52d1e6ef654789c8
书籍章节,"006_A History of Interior Design (John F. Pile, Judith Gura",Chapter Five,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\006_A History of Interior Design (John F. Pile, Judith Gura\05_Chapter Five.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\006_A History of Interior Design (John F. Pile, Judith Gura\05_Chapter Five_知识体系分析.md",358,53208,材料媒介与形式语言；设计本体与问题域；人物机构与案例网络；历史语境与社会机制,广义设计；功能主义；视觉传达；符号系统；创造性,b1275612c359622f141353b57940f758b4fcc928
书籍章节,"006_A History of Interior Design (John F. Pile, Judith Gura",Chapter Six,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\006_A History of Interior Design (John F. Pile, Judith Gura\06_Chapter Six.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\006_A History of Interior Design (John F. Pile, Judith Gura\06_Chapter Six_知识体系分析.md",1311,207616,材料媒介与形式语言；设计本体与问题域；人物机构与案例网络；历史语境与社会机制,广义设计；功能主义；视觉传达；符号系统；创造性,97914c561675018be1f7bf6e0b490175509fb81e
